gene	ultracluster	PV	ResponderMid	NonresponderMid	AD	TResponderMid	TNonresponderMid
ARL6IP5	DC	0.415	0.214	0.665	0.577	0.212	0.718
FDFT1	DC	0.415	0.31	0.43	0.149	0.307	0.483
ACTR2	DC	0.414	0.125	1.194	0.599	0.122	1.248
PDCD10	DC	0.413	0.832	0.743	0.086	0.829	0.797
CCNDBP1	DC	0.412	0.355	-0.348	0.631	0.352	-0.294
GNB1	DC	0.411	0.349	0.575	0.528	0.353	0.522
PRRC2C	DC	0.41	0.311	0.636	0.386	0.311	0.641
ALYREF	DC	0.409	1.199	-1.401	0.253	1.196	-1.347
GRSF1	DC	0.408	0.371	-0.086	0.022	0.368	-0.032
IL1R1	DC	0.408	0.243	-0.214	0.295	0.241	-0.16
RAB8B	DC	0.408	0.624	0.343	0.129	0.622	0.397
RAB10	DC	0.407	0.516	-0.038	0.33	0.514	0.016
HMGA1	DC	0.405	0.155	-0.468	0.471	0.164	-0.83
RAB30	DC	0.405	0.572	0.248	0.215	0.57	0.302
KYNU	DC	0.404	0.476	0.386	0.46	0.478	0.337
KHDRBS1	DC	0.401	0.292	1.789	0.062	0.289	1.843
TPD52	DC	0.4	0.286	0.179	0.404	0.283	0.233
RAB18	DC	0.399	0.445	0.571	0.207	0.442	0.625
ARID1B	DC	0.398	0.39	-0.033	0.532	0.387	0.021
SEC14L1	DC	0.398	-0.295	-0.424	-0.021	-0.297	-0.37
CSNK1A1	DC	0.397	0.346	0.759	0.561	0.344	0.813
PSMA4	DC	0.397	0.73	0.473	0.057	0.727	0.527
GINM1	DC	0.396	0.123	0.535	0.434	0.12	0.589
MSN	DC	0.396	0.144	0.857	0.351	0.141	0.911
UQCRB	DC	0.396	0.211	0.642	0.397	0.215	0.6
FNBP1	DC	0.395	0.235	-0.021	0.147	0.232	0.032
TBC1D13	DC	0.395	1.038	0.346	0.174	1.035	0.4
SLC38A1	DC	0.394	-0.143	1.27	0.691	-0.145	1.324
TMEM230	DC	0.394	0.908	0.353	0.131	0.905	0.407
MZT2A	DC	0.393	0.139	0.419	0.606	0.137	0.473
GK	DC	0.392	-0.323	-1.97	0.026	-0.326	-1.916
SERPINB1	DC	0.392	-1.067	0.13	0.542	-1.067	0.165
UBE2Z	DC	0.39	0.411	-2.189	0.586	0.408	-2.135
DENND5A	DC	0.389	0.205	0.078	0.433	0.202	0.132
TNFAIP8	DC	0.388	0.188	1.039	0.093	0.185	1.093
CAPNS1	DC	0.387	0.556	-0.195	0.535	0.553	-0.141
HLA-DMA	DC	0.387	-0.334	-0.088	0.534	-0.336	-0.034
ATP6V1E1	DC	0.384	0.781	0.981	0.223	0.778	1.035
RAB2A	DC	0.384	0.091	0.295	0.211	0.088	0.349
UBE2A	DC	0.383	0.39	0.875	0.283	0.387	0.928
AFDN	DC	0.382	0.73	-1.101	0.105	0.727	-1.047
DNAJA2	DC	0.382	0.238	1.453	-0.198	0.236	1.507
NDUFA12	DC	0.382	0.734	0.86	0.358	0.731	0.914
HNRNPA3	DC	0.381	0.83	1.114	0.029	0.83	1.13
GCSAM	DC	0.38	0.417	0.117	0.227	0.414	0.171
AKAP13	DC	0.379	0.026	0.468	0.287	0.03	0.422
GPBP1	DC	0.379	-0.086	1.005	0.288	-0.089	1.059
RAB9A	DC	0.378	0.265	0.234	0.281	0.262	0.288
TIPRL	DC	0.378	0.21	1.16	0.187	0.207	1.214
ARPC5	DC	0.377	0.284	0.256	0.129	0.282	0.31
BAX	DC	0.377	0.513	0.963	0.326	0.511	1.017
EIF3F	DC	0.377	-0.146	-0.105	0.326	-0.149	-0.051
CD200	DC	0.375	0.415	0.259	-0.135	0.413	0.313
SPPL2A	DC	0.374	0.369	-0.382	0.314	0.366	-0.328
ANKRD12	DC	0.373	-0.014	1.282	0.379	-0.017	1.336
TBC1D1	DC	0.373	-0.271	0.919	0.332	-0.273	0.973
COX4I1	DC	0.372	0.074	-1.066	0.298	0.072	-1.012
UBE2V2	DC	0.371	0.561	0.835	0.23	0.558	0.889
TSPO	DC	0.369	0.783	0.183	0.721	0.78	0.237
USP12	DC	0.369	0.212	0.728	0.379	0.21	0.782
ATP5F1A	DC	0.366	-0.003	1.094	0.364	-0.006	1.147
G3BP1	DC	0.366	0.985	0.09	0.34	0.982	0.144
NDUFV2	DC	0.365	0.113	1.188	0.294	0.11	1.242
RNF115	DC	0.365	-0.055	-0.321	0.039	-0.058	-0.267
BRI3	DC	0.364	0.553	-0.485	0.3	0.55	-0.431
HLA-F	DC	0.364	0.178	-0.496	0.652	0.175	-0.442
NUB1	DC	0.363	0.927	-0.626	-0.203	0.925	-0.572
NAP1L1	DC	0.361	0.213	-0.495	0.801	0.213	-0.546
ZER1	DC	0.36	1.049	0.935	0.203	1.046	0.989
WDR1	DC	0.359	0.367	0.321	0.456	0.364	0.375
IAH1	DC	0.358	0.753	-2.195	0.236	0.75	-2.141
REEP3	DC	0.358	-0.478	0.034	0.245	-0.481	0.088
NFAT5	DC	0.355	0.447	0.368	0.445	0.445	0.422
RAB8A	DC	0.354	0.21	1.244	0.135	0.208	1.298
RNF7	DC	0.349	0.127	0.939	0.327	0.125	0.993
RBM17	DC	0.347	0.342	0.402	-0.004	0.339	0.456
SMC5	DC	0.347	-0.021	-0.059	-0.092	-0.023	-0.005
ECE1	DC	0.343	0.288	-0.602	0.223	0.285	-0.548
JUND	DC	0.342	0.173	1.243	0.282	0.173	1.275
APOL1	DC	0.341	-0.193	-1.488	-0.292	-0.195	-1.434
SERPINB9	DC	0.341	-0.33	0.2	0.856	-0.333	0.254
PSMB6	DC	0.34	0.431	-0.478	0.387	0.429	-0.424
AGPAT3	DC	0.339	0.057	0.187	0.59	0.055	0.241
GPR157	DC	0.338	0.348	-0.009	0.568	0.345	0.045
RAD23B	DC	0.334	-0.008	-0.148	0.35	-0.011	-0.094
HNRNPR	DC	0.333	0.473	0.875	0.295	0.47	0.929
VTI1B	DC	0.333	0.975	-Inf	0.272	0.973	-Inf
BZW1	DC	0.332	0.504	0.398	-0.023	0.502	0.452
NDE1	DC	0.331	0.226	-0.334	-0.192	0.224	-0.28
TMEM120A	DC	0.33	-0.739	-1.326	0.529	-0.741	-1.272
STMP1	DC	0.329	0.817	0.942	0.075	0.814	0.996
DERL1	DC	0.328	-0.159	0.072	0.098	-0.162	0.126
GFPT1	DC	0.328	0.136	-0.741	0.081	0.133	-0.687
SRRM2	DC	0.328	0.296	0.336	0.246	0.294	0.39
BRK1	DC	0.327	0.357	0.492	0.29	0.355	0.546
S100B	DC	0.327	0.231	-0.719	0.634	0.228	-0.665
ANKRD33B	DC	0.325	-0.201	-0.596	0.257	-0.204	-0.542
HNRNPU	DC	0.325	0.594	1.125	0.137	0.593	1.152
SUMO2	DC	0.325	0.316	-0.127	0.184	0.314	-0.073
LRRFIP1	DC	0.323	0.098	-0.231	0.645	0.1	-0.284
CERS6	DC	0.321	0.322	-0.071	0.367	0.319	-0.017
TAP1	DC	0.321	-0.341	-0.577	0.35	-0.344	-0.523
DYNC1I2	DC	0.319	0.747	0.619	0.125	0.745	0.673
LSM8	DC	0.319	0.266	1.794	0.491	0.264	1.848
PSMD7	DC	0.319	0.348	0.532	0.185	0.351	0.479
POGLUT1	DC	0.318	0.686	-2.355	0.202	0.683	-2.301
RAB11FIP1	DC	0.318	0.091	-0.834	0.619	0.088	-0.78
CDC42	DC	0.317	0.812	0.754	0.1	0.81	0.808
SET	DC	0.317	1.001	0.914	-0.021	1	0.926
NDUFA4	DC	0.316	0.66	0.553	0.445	0.657	0.607
REL	DC	0.316	-0.106	-0.226	0.376	-0.107	-0.204
SCAF11	DC	0.316	0.146	0.529	0.34	0.144	0.583
FYTTD1	DC	0.315	0.405	0.341	-0.149	0.402	0.395
RUFY1	DC	0.315	-0.08	-2.083	0.339	-0.083	-2.029
TTN-AS1	DC	0.314	0.134	1.669	0.188	0.131	1.723
UQCRH	DC	0.314	0.241	0.059	0.403	0.238	0.113
ZNF22	DC	0.314	0.189	-0.299	-0.131	0.186	-0.245
CELF2	DC	0.311	0.411	-0.26	0.316	0.408	-0.206
CDV3	DC	0.307	0.134	1.374	0.164	0.137	1.383
SRP9	DC	0.307	0.986	0.077	0.273	0.984	0.131
SERPINB6	DC	0.306	-0.275	-1.142	0.387	-0.278	-1.088
VMA21	DC	0.306	1.061	1.283	0.263	1.058	1.337
MSRB1	DC	0.305	0.895	-2.043	0.185	0.892	-1.99
EFTUD2	DC	0.304	0.642	0.376	0.365	0.639	0.43
MESD	DC	0.304	-0.015	-0.45	-0.043	-0.017	-0.396
NFKB1	DC	0.304	-0.011	-0.252	0.241	-0.014	-0.198
MAML2	DC	0.302	0.221	-0.069	-0.226	0.23	-0.337
MARCKS	DC	0.301	0.39	-0.318	-0.069	0.387	-0.264
TFG	DC	0.301	0.143	-1.345	0.114	0.14	-1.291
CRYBG1	DC	0.3	0.129	-Inf	0.613	0.126	-Inf
DNAJC21	DC	0.3	0.275	0.507	0.031	0.272	0.561
VBP1	DC	0.299	0.62	-0.704	-0.02	0.618	-0.651
TRAPPC1	DC	0.297	0.33	0.285	0.229	0.328	0.339
LYST	DC	0.295	0.195	-0.259	-0.092	0.192	-0.205
BTN2A2	DC	0.294	-0.147	-0.013	0.42	-0.149	0.04
ARF5	DC	0.293	0.648	0.061	0.203	0.655	-0.207
CLPTM1	DC	0.29	0.077	-0.691	0.287	0.074	-0.637
DDX6	DC	0.288	0.116	0.77	0.082	0.113	0.824
PTGES3	DC	0.288	0.247	1.092	-0.223	0.245	1.146
MCOLN2	DC	0.286	0.623	-0.647	0.756	0.621	-0.593
PSD3	DC	0.286	0.666	-0.992	-0.189	0.664	-0.938
TMBIM6	DC	0.286	0.14	0.292	0.154	0.137	0.346
TIMP1	DC	0.285	-0.409	-2.901	-0.385	-0.411	-2.847
INSM1	DC	0.283	0.809	1.349	-0.292	0.806	1.403
SUB1	DC	0.283	0.489	0.127	0.115	0.487	0.181
ALKBH7	DC	0.282	0.128	0.055	0.103	0.135	-0.113
RAPH1	DC	0.282	-0.399	-2.987	0.717	-0.402	-2.933
EIF2AK1	DC	0.281	-0.575	-0.367	0.204	-0.578	-0.313
RAB5B	DC	0.28	0.176	-0.191	0.326	0.174	-0.137
PTBP3	DC	0.277	0.175	0.561	0.444	0.173	0.615
IL7R	DC	0.275	0.475	1.789	0.514	0.472	1.842
NABP1	DC	0.273	0.186	0.608	0.673	0.187	0.616
SLC15A4	DC	0.272	0.216	-0.127	0.234	0.214	-0.074
FAM49A	DC	0.271	-0.282	-0.379	0.31	-0.284	-0.325
SLC9A7	DC	0.27	0.085	-0.181	0.598	0.082	-0.127
EEF1B2	DC	0.269	-0.262	-0.446	0.122	-0.262	-0.441
SEPT2	DC	0.268	0.539	0.81	0.366	0.536	0.864
CCM2	DC	0.267	0.174	-0.052	0.178	0.171	0.002
RHOF	DC	0.266	0.603	-0.745	0.597	0.6	-0.691
MMD	DC	0.265	0.385	-1.755	0.17	0.383	-1.701
MYL12A	DC	0.265	-0.527	0.965	0.61	-0.53	1.019
SEC62	DC	0.265	0.154	-0.112	0.115	0.151	-0.058
SEM1	DC	0.264	0.82	0.605	0.097	0.817	0.659
ST8SIA4	DC	0.264	-0.088	0.633	0.026	-0.091	0.687
PPP1CA	DC	0.263	0.137	-0.486	0.254	0.134	-0.433
BIRC2	DC	0.262	-0.093	-0.452	0.134	-0.096	-0.398
NDUFC2	DC	0.261	0.683	-0.013	0.342	0.688	-0.222
AC026401.3	DC	0.26	0.492	-0.604	-0.068	0.489	-0.55
SPCS1	DC	0.259	0.206	0.868	0.339	0.203	0.922
TNIP1	DC	0.259	-0.072	-1.684	-0.042	-0.075	-1.63
ELOB	DC	0.256	0.751	0.342	0.156	0.748	0.396
ITGA4	DC	0.256	0.397	1.081	-0.205	0.395	1.135
MOB1A	DC	0.255	0.206	-0.103	0.179	0.203	-0.049
ZBTB10	DC	0.251	-0.252	-0.173	0.523	-0.255	-0.119
MALAT1	DC	0.25	-0.055	0.018	0.094	-0.054	-0.006
DOCK8	DC	0.249	-0.196	0.036	-0.225	-0.198	0.09
THOC7	DC	0.248	0.77	0.624	0.023	0.768	0.677
ADAM19	DC	0.246	0.655	-0.534	0.244	0.652	-0.48
NR4A3	DC	0.246	0.253	1.362	0.817	0.25	1.416
HDLBP	DC	0.244	-0.244	0.281	0.156	-0.247	0.335
HNRNPM	DC	0.244	0.918	0.529	-0.277	0.916	0.583
AC008105.3	DC	0.243	0.149	-0.463	0.284	0.154	-0.672
SPCS3	DC	0.243	-0.388	-0.347	0.325	-0.39	-0.293
FOXP1	DC	0.242	-0.02	-0.502	-0.169	-0.022	-0.448
CSDE1	DC	0.241	0.072	0.651	0.327	0.07	0.705
HIGD2A	DC	0.238	-0.097	-0.009	0.07	-0.1	0.045
PNRC1	DC	0.238	0.263	0.287	0.069	0.261	0.318
SLC25A3	DC	0.238	0.119	0.125	0.134	0.12	0.122
GCNT2	DC	0.237	1.285	0.207	-0.011	1.282	0.26
SMAP2	DC	0.236	-0.378	0.184	0.272	-0.381	0.238
SELENOS	DC	0.235	0.123	-1.523	-0.066	0.12	-1.47
GPR137B	DC	0.234	-0.118	0.097	0.593	-0.121	0.15
MAP3K14	DC	0.234	0.164	0.647	0.56	0.162	0.701
CANX	DC	0.232	0.006	-0.119	0.318	0.003	-0.066
NAV1	DC	0.232	-0.015	-2.516	0.74	-0.017	-2.462
FAM177A1	DC	0.231	0.52	-0.587	-0.149	0.517	-0.533
AP2S1	DC	0.23	0.473	0.269	0.556	0.476	0.17
ARNTL2	DC	0.23	0.447	0.347	0.163	0.444	0.4
SINHCAF	DC	0.23	-0.006	-0.692	-0.18	-0.008	-0.638
EIF3K	DC	0.229	-0.198	-0.222	0.378	-0.201	-0.168
FBXW5	DC	0.228	0.15	-1.372	0.027	0.148	-1.318
COX7C	DC	0.226	0.362	0.481	0.13	0.359	0.535
ATG3	DC	0.225	-0.655	0.279	0.536	-0.657	0.333
EIF3M	DC	0.225	0.514	0.078	0.217	0.511	0.132
PRKAR1A	DC	0.223	-0.056	0.176	0.213	-0.059	0.23
CAPZB	DC	0.221	-0.363	-0.279	0.213	-0.365	-0.225
GRINA	DC	0.221	0.376	-1.001	0.314	0.374	-0.947
BCL9L	DC	0.218	0.14	-1.269	0.281	0.137	-1.215
RTRAF	DC	0.218	0.287	-0.094	0.2	0.284	-0.04
RASSF2	DC	0.217	0.313	0.545	0.279	0.32	0.429
FDPS	DC	0.216	0.182	-0.847	0.203	0.179	-0.793
IDO1	DC	0.216	0.334	-0.76	-0.009	0.331	-0.706
TALDO1	DC	0.216	0.606	-0.541	-0.207	0.604	-0.525
PSMB2	DC	0.214	0.477	-0.219	-0.051	0.474	-0.165
NFE2L2	DC	0.213	0.22	0.604	-0.05	0.218	0.657
N4BP2L2	DC	0.212	0.461	1.306	0.233	0.473	1.19
ATP5MC3	DC	0.21	-0.025	0.294	0.34	-0.028	0.348
EIF4B	DC	0.209	-0.176	-0.096	0.294	-0.17	-0.212
SPECC1	DC	0.205	-0.314	-0.353	0.348	-0.317	-0.299
BCL2A1	DC	0.203	0.471	-1.156	-0.355	0.47	-1.235
CD55	DC	0.203	-0.246	-0.58	0.071	-0.239	-0.789
IRF1	DC	0.203	-0.522	-0.481	-0.228	-0.525	-0.427
ENSA	DC	0.201	-0.231	-0.33	0.219	-0.234	-0.276
RER1	DC	0.201	0.481	-2.106	0.297	0.479	-2.052
IL15	DC	0.199	0.449	0.364	-0.536	0.446	0.418
LSP1	DC	0.198	0.14	-0.262	0.068	0.137	-0.209
COX5A	DC	0.195	0.422	0.372	0.098	0.425	0.301
PSMA1	DC	0.194	0.491	0.413	0.108	0.488	0.466
RAP1B	DC	0.194	0.295	0.322	0.357	0.293	0.376
RGS10	DC	0.193	-0.028	0.976	0.229	-0.031	1.03
SMNDC1	DC	0.193	0.413	-0.027	0.136	0.41	0.027
NACA	DC	0.189	-0.144	0.071	0.11	-0.145	0.095
VOPP1	DC	0.185	0.207	0.042	0.148	0.204	0.096
CD83	DC	0.184	-0.227	-0.225	0.176	-0.229	-0.186
ETV6	DC	0.18	-0.202	0.523	0.339	-0.205	0.577
NAA25	DC	0.179	0.296	-0.265	-0.171	0.294	-0.211
GPR183	DC	0.178	0.738	0.223	0.184	0.736	0.254
C5orf15	DC	0.177	0.223	-1.771	0.208	0.22	-1.717
PIM3	DC	0.176	-0.098	0.128	0.357	-0.101	0.182
PSMB4	DC	0.176	-0.021	-0.352	0.251	-0.023	-0.299
WNT5B	DC	0.176	-0.063	0.391	-0.584	-0.066	0.445
NDUFB2	DC	0.171	0.846	1.107	0.051	0.844	1.161
TYMP	DC	0.171	0.135	-0.574	0.147	0.133	-0.521
NINJ1	DC	0.169	-0.274	-0.672	0.28	-0.276	-0.618
SQLE	DC	0.167	-0.411	-0.826	0.336	-0.413	-0.772
IL2RG	DC	0.165	0.466	-0.116	-0.09	0.463	-0.062
DNAJC15	DC	0.162	-0.033	-0.041	-0.119	-0.035	0.013
TAPBP	DC	0.162	-0.093	0.478	0.378	-0.089	0.439
PSMB1	DC	0.16	0.104	0.455	-0.023	0.102	0.509
PGLS	DC	0.158	0.187	0.565	0.114	0.185	0.619
CYB5A	DC	0.157	0.288	-1.019	-0.277	0.286	-0.965
NDUFS4	DC	0.156	0.049	-0.035	0.118	0.047	0.019
DUSP5	DC	0.155	-0.101	-0.853	0.027	-0.103	-0.8
NOL7	DC	0.155	0.452	0.735	-0.202	0.449	0.789
LAMP3	DC	0.153	0.022	-0.865	0.181	0.019	-0.811
PPA1	DC	0.153	-0.493	-0.866	-0.134	-0.495	-0.812
SULF2	DC	0.152	0.279	-0.541	0.334	0.277	-0.487
ZNF706	DC	0.151	0.415	-0.472	-0.218	0.412	-0.418
VDAC1	DC	0.149	0.421	-0.231	-0.27	0.42	-0.239
SKP1	DC	0.147	0.529	-0.204	-0.023	0.527	-0.15
KDM2B	DC	0.145	-0.313	-2.102	0.33	-0.315	-2.048
MGLL	DC	0.137	-0.187	-0.687	-0.343	-0.187	-0.715
MYL12B	DC	0.134	-0.044	0.167	0.16	-0.047	0.221
PTMS	DC	0.133	0.415	-0.682	0.601	0.412	-0.629
KIF2A	DC	0.132	0.175	0.223	-0.23	0.173	0.276
ATOX1	DC	0.13	0.952	-2.036	0.271	0.95	-1.982
CD274	DC	0.128	0.211	-0.393	0.294	0.208	-0.339
PTPN2	DC	0.127	-0.503	-1.128	0.378	-0.505	-1.074
H2AFV	DC	0.124	-0.094	-0.458	0.137	-0.097	-0.404
CSF2RA	DC	0.122	0.253	-0.619	-0.092	0.25	-0.565
ATP5MPL	DC	0.12	0.612	0.472	-0.088	0.609	0.526
VMO1	DC	0.119	-0.457	-0.929	0.326	-0.459	-0.875
BASP1	DC	0.118	0.133	-0.815	0.079	0.13	-0.761
HINT1	DC	0.116	0.211	-0.063	0.086	0.21	-0.033
MZT2B	DC	0.115	-0.339	0.158	0.224	-0.341	0.212
SPINT2	DC	0.114	-0.16	-2.84	-0.284	-0.162	-2.786
TVP23A	DC	0.114	0.086	-1.097	-0.423	0.084	-1.043
TBC1D4	DC	0.113	0.371	0.01	0.221	0.369	0.063
EIF6	DC	0.111	0.266	-0.055	-0.099	0.263	-0.001
SERBP1	DC	0.111	0.588	0.1	-0.306	0.585	0.154
GDI2	DC	0.11	-0.046	0.739	0.263	-0.048	0.793
UBE2F	DC	0.11	-0.438	-1.321	0.304	-0.44	-1.268
ATP5MG	DC	0.107	0.243	-0.345	0.197	0.242	-0.358
NCK2	DC	0.107	-0.433	-2.605	-0.095	-0.435	-2.551
APOBEC3G	DC	0.102	-0.112	0.366	-0.015	-0.114	0.42
BLVRA	DC	0.099	0.451	-Inf	-0.263	0.448	-Inf
TRAFD1	DC	0.099	0.429	0.523	-0.126	0.427	0.577
PSMB9	DC	0.096	-0.502	-0.696	-0.058	-0.505	-0.642
ORAI1	DC	0.095	-0.299	-2.624	0.393	-0.302	-2.57
COX6C	DC	0.089	0.761	0.71	0.133	0.758	0.764
DUSP4	DC	0.089	-0.552	-0.342	0.399	-0.555	-0.288
PPP1R15B	DC	0.088	-0.093	-0.429	0.189	-0.095	-0.375
VCP	DC	0.088	-0.006	0.168	-0.294	-0.009	0.222
CD86	DC	0.087	0.152	-0.921	-0.482	0.149	-0.867
GADD45A	DC	0.087	-0.127	-0.391	0.361	-0.13	-0.337
OSTF1	DC	0.084	-0.014	-0.284	0.069	-0.017	-0.23
ITM2B	DC	0.081	0.128	-0.461	0.249	0.125	-0.407
GNG5	DC	0.076	0.324	-0.643	0.101	0.321	-0.589
LY75	DC	0.073	0.066	0.107	-0.163	0.063	0.161
ARPC2	DC	0.072	0.217	-0.817	-0.062	0.214	-0.763
RACK1	DC	0.07	-0.188	-0.699	0.053	-0.189	-0.671
ANXA7	DC	0.069	0.125	-0.544	-0.027	0.123	-0.49
MED4	DC	0.068	0.636	0.929	0.06	0.639	0.876
CXCL16	DC	0.067	-0.203	-1.371	0.273	-0.206	-1.317
BCL2L14	DC	0.065	-0.47	-1.195	-0.331	-0.472	-1.141
HLA-DOB	DC	0.064	-0.698	0.339	0.066	-0.7	0.393
ATP5MC2	DC	0.06	0.081	0.388	0.213	0.079	0.441
RDX	DC	0.057	0.021	0.004	-0.254	0.018	0.057
ANXA2	DC	0.055	0.53	-0.489	0.049	0.527	-0.435
CFLAR	DC	0.053	0.174	-0.357	0.218	0.171	-0.303
EPSTI1	DC	0.052	0.222	0.16	-0.17	0.22	0.214
ZFAND6	DC	0.05	0.189	-0.951	-0.323	0.187	-0.897
ERGIC1	DC	0.049	0.112	-1.039	0.205	0.109	-0.985
NMRK1	DC	0.047	-0.282	-0.967	0.075	-0.284	-0.913
RAMP1	DC	0.037	-0.106	-1.328	0.224	-0.108	-1.274
PSME1	DC	0.027	0.562	-0.541	-0.073	0.559	-0.487
SPCS2	DC	0.026	-0.055	0.144	-0.001	-0.058	0.198
UBA52	DC	0.018	0.178	-0.892	0.025	0.179	-1.01
CST7	DC	0.014	0.032	-0.883	0.167	0.029	-0.83
MAP3K13	DC	0.013	-0.069	-2.066	-0.228	-0.072	-2.012
TBC1D8	DC	0.006	-0.893	-1.596	-0.465	-0.896	-1.542
GLIPR2	DC	0.003	0.33	-1.642	0.026	0.327	-1.589
ITM2C	DC	0.002	-0.298	0.044	0.223	-0.301	0.098
MTHFS	DC	-0.018	0.216	-0.925	-0.549	0.213	-0.871
TAP2	DC	-0.026	-0.419	1.335	-0.179	-0.422	1.389
CCR7	DC	-0.043	-0.311	-1.018	-0.351	-0.313	-0.981
CD80	DC	-0.044	-0.276	-0.957	-0.356	-0.279	-0.903
HLA-DQA1	DC	-0.053	-0.776	-1.347	-0.045	-0.778	-1.315
PPP1R14B	DC	-0.074	0.294	-0.231	-0.117	0.294	-0.26
CD40	DC	-0.075	-0.03	-1.541	-0.463	-0.033	-1.487
PSME2	DC	-0.089	0.185	-0.798	-0.422	0.182	-0.744
LAD1	DC	-0.094	-0.014	-0.627	-0.503	-0.017	-0.573
HLA-DRB5	DC	-0.129	0.723	-3.92	-0.634	0.722	-4.866
HLA-DPA1	DC	-0.177	-0.597	-1.51	-0.19	-0.6	-1.475
WIPF3	ILC + NK	5.826	0.679	4.399	3.834	2.042	4.434
ZFY	ILC + NK	4.32	4.766	4.702	2.448	4.755	4.707
TOX2	ILC + NK	3.591	1.403	1.361	2.632	1.634	0.718
SELL	ILC + NK	3.417	1.3	2.361	3.16	1.301	2.558
UTY	ILC + NK	3.399	3.849	3.479	1.629	3.716	3.671
MTRNR2L8	ILC + NK	3.335	-0.428	0.592	-1.558	0.649	-3.373
SRGAP3	ILC + NK	3.107	1.679	2.84	2.164	2.056	2.675
DDX3Y	ILC + NK	3.05	3.008	3.304	1.079	3.053	3.305
TTTY15	ILC + NK	3.008	3.547	3.588	0.757	3.561	3.571
SOX4	ILC + NK	2.885	0.804	1.567	2.401	1.397	0.637
NFE2L3	ILC + NK	2.875	1.679	1.855	2.226	1.737	1.796
IGFBP4	ILC + NK	2.835	1.001	1.192	1.582	0.779	1.549
HOXA10	ILC + NK	2.791	2.202	2.247	2.327	2.157	2.341
EIF1AY	ILC + NK	2.697	3.264	2.755	1.401	3.289	2.491
CNR2	ILC + NK	2.66	1.117	1.823	2.382	1.59	1.18
ITGA1	ILC + NK	2.532	1.35	2.626	2.004	1.644	2.598
PLK2	ILC + NK	2.409	-1.906	-0.923	1.049	-2.128	-0.566
IL18	ILC + NK	2.393	1.622	1.836	2.498	1.564	1.981
IL12RB2	ILC + NK	2.372	0.035	1.433	1.81	0.513	1.249
ENTPD1	ILC + NK	2.314	-0.38	0.34	1.63	-0.143	0.182
LDLRAD4	ILC + NK	2.272	0.696	2.34	2.045	1.135	2.291
TCF4	ILC + NK	2.215	1.073	1.533	2.481	1.328	1.212
RAB37	ILC + NK	2.2	1.679	1.9	1.401	2.042	1.055
C11orf96	ILC + NK	2.173	-1.058	-1.245	-0.199	-1.28	-0.888
TTN	ILC + NK	2.173	1.117	1.708	3.02	1.088	1.872
P2RY14	ILC + NK	2.151	-0.437	1.283	1.051	-0.659	1.64
KIAA0319L	ILC + NK	2.107	0.094	0.786	1.595	0.005	1.024
ADGRG3	ILC + NK	2.084	0.744	0.913	1.44	0.792	0.871
P2RX5	ILC + NK	2.034	-0.451	0.27	0.442	-0.503	0.475
AFF3	ILC + NK	2.031	-0.265	0.893	2.217	-0.017	0.878
ATP10A	ILC + NK	1.99	1.61	1.821	1.46	1.758	1.593
GZMK	ILC + NK	1.973	1.547	1.654	0.922	1.48	1.796
RAB38	ILC + NK	1.933	0.628	1.306	2.152	0.686	1.383
COTL1	ILC + NK	1.912	0.793	1.016	1.159	0.702	1.209
TNFRSF11A	ILC + NK	1.9	0.246	0.782	2.494	0.287	0.849
CERS6	ILC + NK	1.777	0.53	0.99	1.738	0.739	0.761
PLXNC1	ILC + NK	1.768	1.153	1.662	1.582	1.241	1.656
SPART	ILC + NK	1.685	1.565	1.468	1.103	1.457	1.648
PLCB1	ILC + NK	1.612	0.626	1.44	0.886	0.779	1.434
SLC1A4	ILC + NK	1.592	0.174	1.196	2.25	0.297	1.274
ENPP1	ILC + NK	1.566	-0.172	-1.581	2.09	-0.201	-2.224
TNRC18	ILC + NK	1.563	1.264	1.692	2.188	1.339	1.682
GPR183	ILC + NK	1.554	0.74	1.703	0.858	0.739	1.888
KLRC1	ILC + NK	1.534	0.507	0.709	1.183	0.527	0.727
SLAMF7	ILC + NK	1.531	1.669	1.393	0.582	1.619	1.424
CD83	ILC + NK	1.513	-0.714	-0.556	1.022	-0.753	-0.449
KIT	ILC + NK	1.484	0.421	1.369	1.563	0.727	1.208
SMARCAD1	ILC + NK	1.463	1.325	1.598	1.155	1.343	1.638
DNPH1	ILC + NK	1.462	0.81	1.422	0.909	1.166	0.98
ABCA2	ILC + NK	1.444	0.782	0.322	1.524	0.746	0.264
E2F3	ILC + NK	1.43	1.863	1.657	0.939	1.815	1.702
CCDC50	ILC + NK	1.416	0.599	0.396	1.769	0.441	0.65
IRF4	ILC + NK	1.402	0.067	1.178	1.281	0.068	1.38
FUCA2	ILC + NK	1.393	1.209	0.367	1.301	1.015	0.656
HLA-DMA	ILC + NK	1.372	0.679	0.363	1.097	0.559	0.536
TRIB2	ILC + NK	1.369	0.342	1.277	1.834	0.554	1.235
GLCCI1	ILC + NK	1.36	0.975	1.281	1.337	0.911	1.45
TST	ILC + NK	1.354	-0.321	-0.083	1.24	-0.268	-0.114
TNFRSF25	ILC + NK	1.326	-0.018	0.77	0.547	0.15	0.737
LINC00996	ILC + NK	1.324	0.248	-0.483	0.544	0.213	-0.645
MFGE8	ILC + NK	1.317	0.252	0.444	0.722	0.515	-0.093
